rank,score,confidence,seniority,company_name,company_url,company_source,title,job_url,type_of_work,hours_per_week,date_updated,salary,estimated_monthly_usd,skill_requirement,why,summary
37,80,High-confidence vibe coding,"Senior ask, but trainable profile language",SMB Solutions,,exposed_company_or_brand,Full-Stack Software Engineer Needed — 60-Day CRM / API / Automation Project,https://www.onlinejobs.ph/jobseekers/job/Full-Stack-Software-Engineer-Needed-60-Day-CRM-API-Automation-Project-1677961,Any,40,"Jun 28, 2026",N/A,,Fullstack Database Management AI Tools,"Explicit tools: lovable, base44 | AI/build signals: claude, ai tools, perplexity | Build surface: front-end, supabase, repo, api, apis, webhook, webhooks, database | Code/build substrate: front-end, supabase, repo, api, apis, webhook | Trainable language: va | Scarcity/seniority signal: senior, architect, expert, mentor, security","We are looking for a mid-level to senior full-stack software engineer to join our team for a 60-day project.or longer This role is for someone who can work independently, build assigned features, understand front-end and back-end development, and use AI tools..."
38,80,High-confidence vibe coding,Junior or trainable,Company not exposed,,not_exposed,Right-Hand VA (AI & Tech Focus) — Clean Christian Music App,https://www.onlinejobs.ph/jobseekers/job/Right-Hand-VA-AI-Tech-Focus-Clean-Christian-Music-App-1677807,Full Time,40,"Jun 27, 2026",$500/month,500.0,AI Tools Tech-Savvy,"Explicit tools: claude code | AI/build signals: claude, chatgpt, ai tools | Build surface: internal tool, internal tools, repo, api, automation, automations, workflow, wordpress | Code/build substrate: internal tool, internal tools, repo, api, claude code | Trainable language: va, we can teach, learn","We're looking for a sharp, tech-curious right hand who loves using AI to make things run faster and smarter. The heart of this role is using AI to build — simple automations, internal tools, and reports that save our small team hours every week. If you get a..."
39,78,Adjacent AI web/automation builder,Junior or trainable,Company not exposed,,not_exposed,AI Developer,https://www.onlinejobs.ph/jobseekers/job/AI-Developer-1663887,Full Time,40,"Jun 28, 2026",600-2000,2000.0,Marketing Automation AI Tools AI Automation,"AI/build signals: claude, chatgpt, ai tools, ai automation | Build surface: repo, python, api, apis, automation, automations, workflow, workflows | Code/build substrate: repo, python, api, apis | Trainable language: assistant, va, sop, learn","AI & Automation Specialist (Full-Time Remote) Salary $600-$1,000 USD per month (depending on experience) Location Remote (Philippines Preferred) About Us We are a fast-growing eCommerce business operating across Amazon, TikTok Shop, wholesale, private label..."
40,78,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Right-Hand VA (Marketing Focused) — Clean Christian Music App,https://www.onlinejobs.ph/jobseekers/job/Right-Hand-VA-Marketing-Focused-Clean-Christian-Music-App-1678110,Full Time,40,"Jun 28, 2026",400-500/mo depending on experience,500.0,Email Marketing Influencer Marketing Social Media Marketing,"Explicit tools: claude code | AI/build signals: claude, chatgpt, ai tools | Build surface: repo, api, automation, workflow, funnel, funnels, wordpress | Code/build substrate: repo, api, claude code | Trainable language: va, we can teach, learn | Scarcity/seniority signal: expert","We're looking for a sharp, creative, trend-obsessed marketer who lives on social media and loves using AI to make great content faster and smarter. The heart of this role is organic social — finding what's working right now, testing new content types before..."
41,78,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Right-Hand VA (Marketing Focused) — Clean Christian Music App,https://www.onlinejobs.ph/jobseekers/job/Right-Hand-VA-Marketing-Focused-Clean-Christian-Music-App-1678224,Full Time,40,"Jun 28, 2026",$400-500/month,500.0,Marketing Social Media Management,"Explicit tools: claude code | AI/build signals: claude, chatgpt, ai tools | Build surface: repo, api, automation, workflow, funnel, funnels, wordpress | Code/build substrate: repo, api, claude code | Trainable language: va, we can teach, learn | Scarcity/seniority signal: expert","We're looking for a sharp, creative, trend-obsessed marketer who lives on social media and loves using AI to make great content faster and smarter. The heart of this role is organic social — finding what's working right now, testing new content types before..."
42,77,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",123Test,https://123test.com,inferred_from_domain,AI Automation & Workflow Development Specialist,https://www.onlinejobs.ph/jobseekers/job/AI-Automation-Workflow-Development-Specialist-1677172,Full Time,40,"Jun 26, 2026",$8,8.0,API Development Software Development Project Manager AI Automation,"AI/build signals: claude, chatgpt, ai tools, ai automation, ai agent, ai agents | Build surface: internal tool, internal tools, repo, javascript, python, api, automation, automations | Code/build substrate: internal tool, internal tools, repo, javascript, python, api | Trainable language: assistant, va | Scarcity/seniority signal: lead, manager, architect, security","About the Role We are looking for an AI Automation & Workflow Development Specialist to design, build, and maintain the systems that power our internal operations. This is a hands-on technical role for someone who can architect real solutions — not simply..."
43,77,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI Customer Support Systems Specialist (Shopify & AI Automation),https://www.onlinejobs.ph/jobseekers/job/AI-Customer-Support-Systems-Specialist-Shopify-AI-Automation-1677302,Part Time,30,"Jun 26, 2026",800$ a.month,800.0,Shopify AI Automation,"AI/build signals: claude, chatgpt, ai tools, ai automation, llm | Build surface: dashboard, dashboards, repo, api, automation, workflow, workflows, ghl | Code/build substrate: dashboard, dashboards, repo, api | Trainable language: va, sop | Scarcity/seniority signal: manager","This is actually a different role than a normal Shopify VA. You're looking for someone who can build **AI-powered customer support operations**, not just answer emails. Here's a job post that will attract the right people. --- # Job Title **AI Customer..."
44,77,High-confidence vibe coding,"Senior ask, but trainable profile language",Customer,https://customer.io,inferred_from_domain,AI specialist for email marketing agency,https://www.onlinejobs.ph/jobseekers/job/AI-specialist-for-email-marketing-agency-1678456,Part Time,20,"Jun 29, 2026",300CAD / MONTH,300.0,AI Tools AI Automation,"Explicit tools: claude code | AI/build signals: claude, ai tools, ai automation, ai agent | Build surface: repo, api, apis, webhook, webhooks, automation, automations, workflow | Code/build substrate: repo, api, apis, webhook, webhooks, claude code | Trainable language: va | Scarcity/seniority signal: architect",Hello there! We are a growing Email Marketing Agency with 60+ active e-commerce clients looking for an enthusiastic and skilled AI Specialist. This is a part-time role where you will be working alongside our current team of 50+. PLEASE ONLY APPLY IF YOU HAVE...
45,77,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,DevOps / Platform Engineer,https://www.onlinejobs.ph/jobseekers/job/DevOps-Platform-Engineer-1679931,Part Time,TBD,"Jul 1, 2026",N/A,,,"Explicit tools: claude code, cursor, ai-assisted development | AI/build signals: claude, chatgpt | Build surface: github, repo, python, automation, workflow, workflows | Code/build substrate: github, repo, python, cursor, claude code | Trainable language: va | Scarcity/seniority signal: security","We are looking for a Mid-Level DevOps / Platform Engineer to join our team on a part-time basis. This position is ideal for someone who enjoys optimizing and supporting live production environments, ensuring operational stability, and improving deployment..."
46,76,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI AUTOMATION SPECIALIST (e-commerce),https://www.onlinejobs.ph/jobseekers/job/AI-AUTOMATION-SPECIALIST-e-commerce-1678967,Part Time,TBD,"Jun 29, 2026",TBD,,AI Automation,"AI/build signals: claude, chatgpt, ai tools, ai automation | Build surface: dashboard, dashboards, repo, api, automation, automations, workflow, workflows | Code/build substrate: dashboard, dashboards, repo, api | Trainable language: va, sop, templates | Scarcity/seniority signal: lead","AI Automation Specialist for Fast-Growing E-Commerce Business We are looking for a smart, proactive AI Automation Specialist to help us improve systems, speed up workflows, and reduce repetitive manual tasks across our growing e-commerce, printing, corporate..."
47,76,Adjacent AI web/automation builder,Junior or trainable,Company not exposed,,not_exposed,Project-Based AI Automation,https://www.onlinejobs.ph/jobseekers/job/Project-Based-AI-Automation-1679585,Any,TBD,"Jun 30, 2026",$200 per project,200.0,AI Automation,"AI/build signals: claude, chatgpt, openai, ai automation | Build surface: dashboard, repo, api, apis, webhook, webhooks, automation, workflow | Code/build substrate: dashboard, repo, api, apis, webhook, webhooks | Trainable language: assistant, va, virtual assistant","We operate approximately 45 short-term rental properties and use Hostaway, Airbnb, VRBO, Booking.com, and OpenPhone for guest communications. We are looking for an experienced automation specialist to build a communication monitoring system using Make.com, AI..."
48,76,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Experienced Developer / Vibe coder,https://www.onlinejobs.ph/jobseekers/job/Experienced-Developer-Vibe-coder-1576144,Any,20,"Jun 29, 2026",Negotiable,,,"Explicit tools: vibe coder | AI/build signals: ai tools | Build surface: dashboard, dashboards, supabase, github, repo, api, apis, database | Code/build substrate: dashboard, dashboards, supabase, github, repo, api | Trainable language: va | Scarcity/seniority signal: architect, security","Looking for an Experienced Developer to Help Build a CRM for a Dropshipping Customer Support Team I’m currently building a custom CRM system for a dropshipping customer service team, and I’m looking for an experienced developer to support and collaborate with..."
49,75,High-confidence vibe coding,"Senior ask, but trainable profile language",Coalition Technologies,https://testedrecruits.com,inferred_from_listing_header,Remote Front End Developer,https://www.onlinejobs.ph/jobseekers/job/Remote-Front-End-Developer-1665784,Full Time,40,"Jun 29, 2026",$$$,,SCSS HTML PSD to HTML,"Explicit tools: cursor | AI/build signals: openai, ai tools | Build surface: website, websites, frontend, react, github, repo, html, css | Code/build substrate: frontend, react, github, repo, html, css | Trainable language: va, templates, learn | Scarcity/seniority signal: expert","You must apply via the link to be considered for the role: app.testedrecruits.com/posting/16636 WHY YOU SHOULD APPLY: Coalition Technologies is devoted to delivering clients the highest quality work while providing our team a fun, thriving, and innovative..."
